"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"18/03/2020,MEDIACANOA,7.02,86,129,0.5"
"18/03/2020,RIOFRIO,7.05,80,167,0.6"
"18/03/2020,PUENTE GUAYABAL,6.92,100,137,0.784"
"18/03/2020,LA VICTORIA,7.03,126,129,0.957"
"18/03/2020,ANACARO,7.06,100,136,1.05"
"18/03/2020,PUENTE LA VIRGINIA,6.94,92,171,0.966"
"22/09/2020,ANTES SUAREZ,7.53,14,102,0.171"
"22/09/2020,ANTES RIO OVEJAS,7.38,34,99.9,0.171"
"22/09/2020,ANTES RIO TIMBA,7.5,11.6,122,0.171"
"22/09/2020,PASO DE LA BALSA,7.58,32,92.3,0.171"
"22/09/2020,PASO DE LA BOLSA,7.5,23,129,0.284"
"22/09/2020,PUENTE HORMIGUERO,7.21,35,105,0.31"
"22/09/2020,ANTES INTERCEPTOR SUR,7.43,64,145,0.315"
"22/09/2020,JUANCHITO,7.14,43,110,0.36"
"22/09/2020,PASO DEL COMERCIO,7.11,67,130,0.33"
"22/09/2020,PUERTO ISAACS,7.08,41,133,0.407"
"22/09/2020,PASO DE LA TORRE,7,29,144,0.333"
"22/09/2020,VIJES,7.02,22,155,0.299"
"22/09/2020,YOTOCO,7.08,43,147,0.382"
"22/09/2020,MEDIACANOA,7.11,58,147,0.385"
"22/09/2020,RIOFRIO,7.25,71,140,0.526"
"22/09/2020,PUENTE GUAYABAL,7.22,44,148,0.516"
"22/09/2020,LA VICTORIA,7.25,136,135,0.855"
"22/09/2020,ANACARO,7.28,50,137,0.816"
"22/09/2020,PUENTE LA VIRGINIA,7.45,70,127,0.972"
"17/03/2021,ANTES SUAREZ,7.44,17,65.1,0.316"
"17/03/2021,ANTES RIO OVEJAS,7.41,23,64.1,0.305"
"17/03/2021,ANTES RIO TIMBA,7.71,91,59.6,0.292"
"17/03/2021,PASO DE LA BALSA,7.75,126,60.7,0.291"
"17/03/2021,PASO DE LA BOLSA,7.84,93,62.9,0.31"
"17/03/2021,PUENTE HORMIGUERO,7.54,747,79.1,0.316"
"17/03/2021,ANTES INTERCEPTOR SUR,7.49,715,86.4,0.344"
"17/03/2021,JUANCHITO,7.21,402,97.9,0.313"
"17/03/2021,PASO DEL COMERCIO,7.3,340,102,0.352"
"17/03/2021,PUERTO ISAACS,7.14,334,101,0.383"
"17/03/2021,PASO DE LA TORRE,7.33,487,114,0.42"
"17/03/2021,VIJES,7.49,408,125,0.391"
"17/03/2021,YOTOCO,7.51,108,162,0.856"
"17/03/2021,MEDIACANOA,7.44,15,151,0.559"
"17/03/2021,RIOFRIO,7.6,353,233,0.247"
"17/03/2021,PUENTE GUAYABAL,7.4,1285,125,0.302"
"17/03/2021,LA VICTORIA,7.43,490,129,0.459"
"17/03/2021,ANACARO,7.32,815,144,0.602"
"17/03/2021,PUENTE LA VIRGINIA,5.32,237,126,0.479"
"14/09/2021,ANTES SUAREZ,6.77,11.6,94.8,0.358"
"14/09/2021,ANTES RIO OVEJAS,6.71,11.6,88.4,0.351"
"14/09/2021,ANTES RIO TIMBA,6.88,15,86.4,0.337"
"14/09/2021,PASO DE LA BALSA,6.88,26,86.5,0.344"
"14/09/2021,PASO DE LA BOLSA,7.24,24,89.4,0.355"
"14/09/2021,PUENTE HORMIGUERO,7.2,48,110,0.368"
"14/09/2021,ANTES INTERCEPTOR SUR,7.24,28,97.9,0.355"
"14/09/2021,JUANCHITO,7.16,90,103,0.372"
"14/09/2021,PASO DEL COMERCIO,6.41,63,114,0.379"
"14/09/2021,PUERTO ISAACS,6.96,54,116,0.384"
"14/09/2021,PASO DE LA TORRE,6.96,27,131,0.387"
"14/09/2021,VIJES,7.48,49,131,0.39"
"14/09/2021,YOTOCO,7.34,70,144,0.202"
"14/09/2021,MEDIACANOA,7.32,64,141,0.475"
"14/09/2021,RIOFRIO,7.26,142,145,0.532"
"14/09/2021,PUENTE GUAYABAL,7.4,46,151,0.627"
"14/09/2021,LA VICTORIA,7.28,76,159,0.658"
"14/09/2021,ANACARO,7.28,94,148,0.741"
"14/09/2021,PUENTE LA VIRGINIA,7.54,130,153,0.868"
