"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"18/03/2015,PUENTE LA VIRGINIA,7.28,240,165,1.05"
"17/06/2015,ANTES SUAREZ,7.12,11.4,85.2,0.405"
"17/06/2015,ANTES RIO OVEJAS,7.07,11.4,78.6,0.417"
"17/06/2015,ANTES RIO TIMBA,7.07,11.4,77.7,0.291"
"17/06/2015,PASO DE LA BALSA,7.08,13.3,78,0.224"
"17/06/2015,PASO DE LA BOLSA,7.67,32,85.6,0.265"
"17/06/2015,PUENTE HORMIGUERO,7.51,34.3,98.2,0.303"
"17/06/2015,ANTES INTERCEPTOR SUR,7.54,15.6,108,0.294"
"17/06/2015,JUANCHITO,7.46,39.5,109,0.351"
"17/06/2015,PASO DEL COMERCIO,7.28,28,137,0.447"
"17/06/2015,PUERTO ISAACS,7.22,14,157,0.31"
"17/06/2015,PASO DE LA TORRE,7.12,28,214,0.114"
"17/06/2015,VIJES,7.18,20.3,181,0.114"
"17/06/2015,YOTOCO,6.9,26.9,184,0.114"
"17/06/2015,MEDIACANOA,7.23,54,181,0.225"
"17/06/2015,RIOFRIO,7.25,40,186,0.114"
"17/06/2015,PUENTE GUAYABAL,7.23,23.5,191,0.201"
"17/06/2015,LA VICTORIA,7.27,37.1,186,0.638"
"17/06/2015,ANACARO,7.28,40,175,1.02"
"17/06/2015,PUENTE LA VIRGINIA,7.27,115,154,0.927"
"16/09/2015,ANTES SUAREZ,7.12,11.4,110,0.114"
"16/09/2015,ANTES RIO OVEJAS,7.04,11.4,106,0.114"
"16/09/2015,ANTES RIO TIMBA,7.09,11.4,103,0.114"
"16/09/2015,PASO DE LA BALSA,7.08,11.4,102,0.114"
"16/09/2015,PASO DE LA BOLSA,7.12,26,105,0.136"
"16/09/2015,PUENTE HORMIGUERO,7.07,22.9,113,0.251"
"16/09/2015,ANTES INTERCEPTOR SUR,7.08,11.4,117,0.249"
"16/09/2015,JUANCHITO,7.1,21.5,128,0.337"
"16/09/2015,PASO DEL COMERCIO,7.03,32.7,166,0.253"
